table,column,type,is_pk,is_fk,nullable,source_columns_in_flat_csv,notes
customer,customer_id,VARCHAR,TRUE,FALSE,FALSE,customerID,"7043 distinct values, verified unique (duplicate_finder.py, 0 dupes)"
customer,gender,VARCHAR,FALSE,FALSE,FALSE,gender,"Male/Female"
customer,senior_citizen,BOOLEAN,FALSE,FALSE,FALSE,SeniorCitizen,"source ships as int 0/1"
customer,partner,BOOLEAN,FALSE,FALSE,FALSE,Partner,"source ships as Yes/No"
customer,dependents,BOOLEAN,FALSE,FALSE,FALSE,Dependents,"source ships as Yes/No"
subscription,subscription_id,VARCHAR,TRUE,FALSE,FALSE,(derived — 1 per customerID in this extract),"synthetic key; == customer_id in this snapshot since each customer has exactly 1 active subscription row"
subscription,customer_id,VARCHAR,FALSE,TRUE,FALSE,customerID,"FK -> customer.customer_id"
subscription,contract_type,VARCHAR,FALSE,FALSE,FALSE,Contract,"Month-to-month / One year / Two year (verified 3 distinct values)"
subscription,tenure_months,INTEGER,FALSE,FALSE,FALSE,tenure,"0-72 months observed"
subscription,phone_service,BOOLEAN,FALSE,FALSE,FALSE,PhoneService,"source ships as Yes/No"
subscription,internet_service_type,VARCHAR,FALSE,FALSE,FALSE,InternetService,"DSL / Fiber optic / No (verified 3 distinct values)"
subscription,churn_flag,BOOLEAN,FALSE,FALSE,FALSE,Churn,"source ships as Yes/No"
service_addon,addon_id,VARCHAR,TRUE,FALSE,FALSE,(derived — one row per applicable addon per subscription),"synthetic surrogate key for the EAV-style unpivot"
service_addon,subscription_id,VARCHAR,FALSE,TRUE,FALSE,(derived),"FK -> subscription.subscription_id"
service_addon,addon_type,VARCHAR,FALSE,FALSE,FALSE,"column name of: MultipleLines, OnlineSecurity, OnlineBackup, DeviceProtection, TechSupport, StreamingTV, StreamingMovies","7 possible addon types; MultipleLines only applicable when phone_service=TRUE, the other 6 only when internet_service_type != 'No'"
service_addon,addon_status,VARCHAR,FALSE,FALSE,FALSE,"value of the corresponding wide column","Yes/No; the 'No phone service'/'No internet service' sentinel values collapse to 'not applicable — no row emitted' in this normalized model, not a status value (see schema_mapping_raw_to_analytics.md)"
billing_account,billing_account_id,VARCHAR,TRUE,FALSE,FALSE,(derived — 1:1 with subscription),"synthetic key"
billing_account,subscription_id,VARCHAR,FALSE,TRUE,FALSE,(derived),"FK -> subscription.subscription_id, 1:1"
billing_account,payment_method_id,VARCHAR,FALSE,TRUE,FALSE,PaymentMethod,"FK -> payment_method.payment_method_id"
billing_account,monthly_charges,DECIMAL,FALSE,FALSE,FALSE,MonthlyCharges,"verified >=0 in all 7043 rows (data-quality-audit)"
billing_account,total_charges,DECIMAL,FALSE,FALSE,TRUE,TotalCharges,"11 nulls, all at tenure_months==0 (never billed yet) — see data_quality_scorecard"
billing_account,paperless_billing,BOOLEAN,FALSE,FALSE,FALSE,PaperlessBilling,"source ships as Yes/No"
payment_method,payment_method_id,VARCHAR,TRUE,FALSE,FALSE,(derived — 1 row per distinct PaymentMethod value),"4 distinct values observed"
payment_method,method_name,VARCHAR,FALSE,FALSE,FALSE,PaymentMethod,"Electronic check / Mailed check / Bank transfer (automatic) / Credit card (automatic)"
payment_method,is_automatic,BOOLEAN,FALSE,FALSE,FALSE,(derived from PaymentMethod text),"TRUE for the 2 '(automatic)' methods, FALSE for the 2 check methods"
