source_column,source_type,target_column,target_type,transformation,notes
customerID,object,customer_id,object,Direct (rename only),"Unique key, verified 0 duplicates"
gender,object,gender,category,"df['gender'].astype('category')",2 levels: Male/Female
SeniorCitizen,int64,senior_citizen,int8,"df['SeniorCitizen'].astype('int8')",already 0/1; only a width downcast
Partner,object,partner,int8,"(df['Partner']=='Yes').astype('int8')",Yes/No -> 1/0
Dependents,object,dependents,int8,"(df['Dependents']=='Yes').astype('int8')",Yes/No -> 1/0
tenure,int64,tenure_months,int16,"df['tenure'].astype('int16')",range 0-72 fits comfortably in int16
PhoneService,object,phone_service,int8,"(df['PhoneService']=='Yes').astype('int8')",Yes/No -> 1/0
MultipleLines,object,multiple_lines,category,"df['MultipleLines'].astype('category')","kept 3-valued (Yes/No/'No phone service') rather than collapsed to binary — the 'No phone service' sentinel is informative (== PhoneService=='No', verified 0 inconsistencies in data-quality-audit) and dropping it would lose that signal for a tree-based model"
InternetService,object,internet_service,category,"df['InternetService'].astype('category')",3 levels: DSL/Fiber optic/No
OnlineSecurity,object,online_security,category,"df['OnlineSecurity'].astype('category')","kept 3-valued for same reason as MultipleLines; 'No internet service' sentinel verified consistent with InternetService=='No' (0 violations)"
OnlineBackup,object,online_backup,category,"df['OnlineBackup'].astype('category')",same pattern as online_security
DeviceProtection,object,device_protection,category,"df['DeviceProtection'].astype('category')",same pattern as online_security
TechSupport,object,tech_support,category,"df['TechSupport'].astype('category')",same pattern as online_security
StreamingTV,object,streaming_tv,category,"df['StreamingTV'].astype('category')",same pattern as online_security
StreamingMovies,object,streaming_movies,category,"df['StreamingMovies'].astype('category')",same pattern as online_security
Contract,object,contract,category,"df['Contract'].astype('category')",3 levels; ordinal in spirit (Month-to-month < One year < Two year) but stored as unordered category — modeling skills downstream decide ordinal vs one-hot
PaperlessBilling,object,paperless_billing,int8,"(df['PaperlessBilling']=='Yes').astype('int8')",Yes/No -> 1/0
PaymentMethod,object,payment_method,category,"df['PaymentMethod'].astype('category')",4 levels
MonthlyCharges,float64,monthly_charges,float64,Direct (rename only — already correctly typed),verified >=0 for all 7043 rows
TotalCharges,object,total_charges,float64,"pd.to_numeric(df['TotalCharges'].str.strip(), errors='coerce')","coerces the 11 blank strings to NaN; NaN occurs iff tenure==0 (verified: 100% overlap, see data_quality_scorecard). Downstream modeling should impute these 11 rows to 0.0 (never-billed customer), NOT drop the column's nullability — the null itself is meaningful (new customer), not an error."
Churn,object,churn,int8,"(df['Churn']=='Yes').astype('int8')","Yes/No -> 1/0; this is the modeling target. Verified 0 nulls, exactly 2 distinct values, positive rate 26.54%"
